Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,names,Symbol
2020-07-12,9241.0546875,9319.4189453125,9197.4501953125,9276.5,14452361907,0,0,Bitcoin,BTC
2020-07-13,9277.205078125,9306.4052734375,9224.29296875,9243.6142578125,17519821266,0,0,Bitcoin,BTC
2020-07-14,9238.703125,9283.841796875,9171.6611328125,9243.2138671875,18085038362,0,0,Bitcoin,BTC
2020-07-15,9241.8974609375,9275.3251953125,9171.93359375,9192.8369140625,15844731575,0,0,Bitcoin,BTC
2020-07-16,9191.98046875,9214.3125,9088.947265625,9132.2275390625,15713967523,0,0,Bitcoin,BTC
2020-07-17,9131.8125,9182.25390625,9089.2021484375,9151.392578125,13944570749,0,0,Bitcoin,BTC
2020-07-18,9151.18359375,9230.9833984375,9100.82421875,9159.0400390625,12252601475,0,0,Bitcoin,BTC
2020-07-19,9158.005859375,9201.3984375,9097.6328125,9185.8173828125,12939002784,0,0,Bitcoin,BTC
2020-07-20,9187.220703125,9214.2705078125,9137.509765625,9164.2314453125,13755604146,0,0,Bitcoin,BTC
2020-07-21,9162.5146484375,9407.2626953125,9149.3896484375,9374.8876953125,18069581956,0,0,Bitcoin,BTC
2020-07-22,9375.080078125,9530.5185546875,9319.6533203125,9525.36328125,16532254884,0,0,Bitcoin,BTC
2020-07-23,9527.1416015625,9610.2470703125,9483.00390625,9581.072265625,18146399002,0,0,Bitcoin,BTC
2020-07-24,9585.5146484375,9623.3369140625,9481.4541015625,9536.892578125,16552768325,0,0,Bitcoin,BTC
2020-07-25,9539.4853515625,9704.556640625,9530.2119140625,9677.11328125,16610070933,0,0,Bitcoin,BTC
2020-07-26,9680.234375,10023.8076171875,9652.84765625,9905.1669921875,20507998997,0,0,Bitcoin,BTC
2020-07-27,9905.2177734375,11298.2216796875,9903.9697265625,10990.873046875,35359749590,0,0,Bitcoin,BTC
2020-07-28,11017.4638671875,11204.3271484375,10632.6318359375,10912.8232421875,28766551142,0,0,Bitcoin,BTC
2020-07-29,10912.953125,11304.3974609375,10856.1416015625,11100.4677734375,24617249715,0,0,Bitcoin,BTC
2020-07-30,11099.8330078125,11169.3564453125,10895.455078125,11111.2138671875,22857247901,0,0,Bitcoin,BTC
2020-07-31,11110.2109375,11415.8642578125,10987.0537109375,11323.466796875,23160469766,0,0,Bitcoin,BTC
2020-08-01,11322.5703125,11794.775390625,11239.6826171875,11759.5927734375,26075670303,0,0,Bitcoin,BTC
2020-08-02,11758.7646484375,12034.14453125,11018.1298828125,11053.6142578125,27410067336,0,0,Bitcoin,BTC
2020-08-03,11043.7685546875,11453.0791015625,11012.4150390625,11246.3486328125,20271713443,0,0,Bitcoin,BTC
2020-08-04,11246.203125,11385.3818359375,11094.1455078125,11205.892578125,21250197042,0,0,Bitcoin,BTC
